No,Cement,Slag,Fly ash,Water,SP,Coarse Aggr.,Fine Aggr.,SLUMP(cm),FLOW(cm),Compressive Strength (28-day)(Mpa)
1,273,82,105,210,9,904,680,23,62,34.99
2,163,149,191,180,12,843,746,0,20,41.14
3,162,148,191,179,16,840,743,1,20,41.81
4,162,148,190,179,19,838,741,3,21.5,42.08
5,154,112,144,220,10,923,658,20,64,26.82
6,147,89,115,202,9,860,829,23,55,25.21
7,152,139,178,168,18,944,695,0,20,38.86
8,145,0,227,240,6,750,853,14.5,58.5,36.59
9,152,0,237,204,6,785,892,15.5,51,32.71
10,304,0,140,214,6,895,722,19,51,38.46
11,145,106,136,208,10,751,883,24.5,61,26.02
12,148,109,139,193,7,768,902,23.75,58,28.03
13,142,130,167,215,6,735,836,25.5,67,31.37
14,354,0,0,234,6,959,691,17,54,33.91
15,374,0,0,190,7,1013,730,14.5,42.5,32.44
16,159,116,149,175,15,953,720,23.5,54.5,34.05
17,153,0,239,200,6,1002,684,12,35,28.29
18,295,106,136,206,11,750,766,25,68.5,41.01
19,310,0,143,168,10,914,804,20.5,48.2,49.3
20,296,97,0,219,9,932,685,15,48.5,29.23
21,305,100,0,196,10,959,705,20,49,29.77
22,310,0,143,218,10,787,804,13,46,36.19
23,148,180,0,183,11,972,757,0,20,18.52
24,146,178,0,192,11,961,749,18,46,17.19
25,142,130,167,174,11,883,785,0,20,36.72
26,140,128,164,183,12,871,775,23.75,53,33.38
27,308,111,142,217,10,783,686,25,70,42.08
28,295,106,136,208,6,871,650,26.5,70,39.4
29,298,107,137,201,6,878,655,16,26,41.27
30,314,0,161,207,6,851,757,21.5,64,41.14
31,321,0,164,190,5,870,774,24,60,45.82
32,349,0,178,230,6,785,721,20,68.5,43.95
33,366,0,187,191,7,824,757,24.75,62.7,52.65
34,274,89,115,202,9,759,827,26.5,68,35.52
35,137,167,214,226,6,708,757,27.5,70,34.45
36,275,99,127,184,13,810,790,25.75,64.5,43.54
37,252,76,97,194,8,835,821,23,54,33.11
38,165,150,0,182,12,1023,729,14.5,20,18.26
39,158,0,246,174,7,1035,706,19,43,34.99
40,156,0,243,180,11,1022,698,21,57,33.78
41,145,177,227,209,11,752,715,2.5,20,35.66
42,154,141,181,234,11,797,683,23,65,33.51
43,160,146,188,203,11,829,710,13,38,33.51
44,291,105,0,205,6,859,797,24,59,27.62
45,298,107,0,186,6,879,815,3,20,30.97
46,318,126,0,210,6,861,737,17.5,48,31.77
47,280,92,118,207,9,883,679,25.5,64,37.39
48,287,94,121,188,9,904,696,25,61,43.01
49,332,0,170,160,6,900,806,0,20,58.53
50,326,0,167,174,6,884,792,21.5,42,52.65
51,320,0,163,188,9,866,776,23.5,60,45.69
52,342,136,0,225,11,770,747,21,61,32.04
53,356,142,0,193,11,801,778,8,30,36.46
54,309,0,142,218,10,912,680,24,62,38.59
55,322,0,149,186,8,951,709,20.5,61.5,45.42
56,159,193,0,208,12,821,818,23,50,19.19
57,307,110,0,189,10,904,765,22,40,31.5
58,313,124,0,205,11,846,758,22,49,29.63
59,143,131,168,217,6,891,672,25,69,26.42
60,140,128,164,237,6,869,656,24,65,29.5
61,278,0,117,205,9,875,799,19,48,32.71
62,288,0,121,177,7,908,829,22.5,48.5,39.93
63,299,107,0,210,10,881,745,25,63,28.29
64,291,104,0,231,9,857,725,23,69,30.43
65,265,86,111,195,6,833,790,27,60,37.39
66,159,0,248,175,12,1041,683,21,51,35.39
